operator;arithmetic;wordLen;vectorLen;archName;Supported
add;int;8;1;aarch64;True
add;int;16;1;aarch64;True
add;int;32;1;aarch64;True
add;int;64;1;aarch64;True

add;int;16;4;aarch64;True
add;int;32;2;aarch64;True

add;flt;32;1;aarch64;True
add;flt;64;1;aarch64;True
add;flt;32;4;aarch64;True
add;flt;64;2;aarch64;True

mul;int;8;1;aarch64;True
mul;int;16;1;aarch64;True
mul;int;16;4;aarch64;True
mul;int;32;1;aarch64;True
mul;int;32;4;aarch64;True
mul;int;64;1;aarch64;True

mul;flt;32;1;aarch64;True
mul;flt;64;1;aarch64;True
mul;flt;32;4;aarch64;True
mul;flt;64;2;aarch64;True

sub;int;8;1;aarch64;True
sub;int;16;1;aarch64;True
sub;int;16;4;aarch64;True
sub;int;32;1;aarch64;True
sub;int;32;4;aarch64;True
sub;int;64;1;aarch64;True
sub;int;64;2;aarch64;True

sub;flt;32;1;aarch64;True
sub;flt;64;1;aarch64;True
sub;flt;32;4;aarch64;True
sub;flt;64;2;aarch64;True

div;int;8;1;aarch64;True
div;int;16;1;aarch64;True
div;int;32;1;aarch64;True
div;int;64;1;aarch64;True

div;flt;32;1;aarch64;True
div;flt;64;1;aarch64;True
div;flt;32;4;aarch64;True
div;flt;64;2;aarch64;True

or;int;8;1;aarch64;True
or;int;16;1;aarch64;True
or;int;32;1;aarch64;True
or;int;64;1;aarch64;True

and;int;8;1;aarch64;True
and;int;16;1;aarch64;True
and;int;32;1;aarch64;True
and;int;64;1;aarch64;True

xor;int;8;1;aarch64;True
xor;int;16;1;aarch64;True
xor;int;32;1;aarch64;True
xor;int;64;1;aarch64;True

sl;int;8;1;aarch64;True
sl;int;16;1;aarch64;True
sl;int;32;1;aarch64;True
sl;int;64;1;aarch64;True

sr;int;8;1;aarch64;True
sr;int;16;1;aarch64;True
sr;int;32;1;aarch64;True
sr;int;64;1;aarch64;True
